velocity [mm/s]	effect [%]	deffect [%]	
6.3448	-0.52508	0.11711	-0.56068
6.4246	-0.43078	0.11716	-0.57434
6.5044	-0.49447	0.11713	-0.59082
6.5842	-0.59085	0.11707	-0.61012
6.664	-0.58381	0.11707	-0.63222
6.7438	-0.51033	0.11712	-0.65705
6.8236	-0.65192	0.11703	-0.68444
6.9034	-0.62821	0.11705	-0.71415
6.9832	-0.69893	0.11701	-0.74579
7.063	-0.86217	0.11691	-0.7788
7.1428	-0.87775	0.1169	-0.81245
7.2226	-0.86879	0.11691	-0.84579
7.3025	-0.74429	0.11698	-0.87769
7.3823	-0.87706	0.1169	-0.90685
7.4621	-0.85583	0.11691	-0.93188
7.5419	-0.89112	0.11689	-0.9514
7.6217	-0.91429	0.11688	-0.96419
7.7015	-0.92794	0.11687	-0.96933
7.7813	-1.0588	0.11679	-0.9663
7.8611	-1.0134	0.11682	-0.95504
7.9409	-0.95317	0.11686	-0.93599
8.0207	-0.87885	0.1169	-0.91002
8.1005	-0.84549	0.11692	-0.87828
8.1803	-0.83336	0.11693	-0.8421
8.2602	-0.82605	0.11693	-0.80284
8.34	-0.75463	0.11697	-0.76179
8.4198	-0.79296	0.11695	-0.72006
8.4996	-0.78924	0.11695	-0.67857
8.5794	-0.69811	0.11701	-0.63806
8.6592	-0.55155	0.11709	-0.59904
8.739	-0.62848	0.11705	-0.56188
8.8188	-0.59746	0.11707	-0.52678
8.8986	-0.48083	0.11714	-0.49386
8.9784	-0.50936	0.11712	-0.46313
9.0582	-0.40734	0.11718	-0.43455
9.138	-0.37329	0.1172	-0.40806
9.2178	-0.41382	0.11717	-0.38354
9.2977	-0.24438	0.11727	-0.36087
9.3775	-0.14539	0.11733	-0.33993
9.4573	-0.15559	0.11733	-0.32059
9.5371	-0.23514	0.11728	-0.30272
9.6169	-0.3817	0.11719	-0.28621
9.6967	-0.1873	0.11731	-0.27094
9.7765	-0.13119	0.11734	-0.25681
9.8563	-0.25251	0.11727	-0.24372
9.9361	-0.12567	0.11734	-0.23158
10.016	-0.072457	0.11738	-0.22031
10.096	-0.14649	0.11733	-0.20983
10.176	-0.22549	0.11729	-0.20007
10.255	-0.22273	0.11729	-0.19098
10.335	-0.16635	0.11732	-0.1825
10.415	-0.12361	0.11735	-0.17458
10.495	-0.074939	0.11737	-0.16716
10.575	-0.18565	0.11731	-0.16022
10.654	-0.26451	0.11726	-0.1537
10.734	-0.23556	0.11728	-0.14758
10.814	-0.10155	0.11736	-0.14183
10.894	-0.086382	0.11737	-0.13642
10.974	-0.10734	0.11735	-0.13131
11.053	-0.13794	0.11734	-0.1265
11.133	-0.1436	0.11733	-0.12195
11.213	-0.088588	0.11737	-0.11765
11.293	-0.056326	0.11738	-0.11358
11.373	-0.037163	0.1174	-0.10972
11.452	-0.10375	0.11736	-0.10605
11.532	-0.14773	0.11733	-0.10258
11.612	-0.11933	0.11735	-0.099273
11.692	-0.17986	0.11731	-0.096128
11.772	-0.14567	0.11733	-0.093134
11.852	-0.13298	0.11734	-0.090279
11.931	-0.018688	0.11741	-0.087556
12.011	0.011367	0.11742	-0.084955
12.091	-0.033027	0.1174	-0.08247
12.171	-0.044745	0.11739	-0.080093
12.251	0.02543	0.11743	-0.077818
12.33	-0.036611	0.1174	-0.075639
12.41	-0.21529	0.11729	-0.07355
12.49	-0.10954	0.11735	-0.071545
12.57	-0.045021	0.11739	-0.069621
12.65	-0.1589	0.11732	-0.067772
12.729	-0.15118	0.11733	-0.065995
12.809	-0.039506	0.11739	-0.064286
12.889	-0.010002	0.11741	-0.06264
12.969	-0.091345	0.11736	-0.061055
13.049	-0.042126	0.11739	-0.059527
13.128	0.031772	0.11744	-0.058053
13.208	-0.08583	0.11737	-0.056631
13.288	-0.061014	0.11738	-0.055258
13.368	-0.047227	0.11739	-0.053932
13.448	0.0014407	0.11742	-0.05265
13.527	-0.15077	0.11733	-0.05141
13.607	-0.13078	0.11734	-0.050211
13.687	-0.12526	0.11734	-0.049049
13.767	0.043077	0.11744	-0.047924
13.847	0.10181	0.11748	-0.046834
13.927	-0.06777	0.11738	-0.045777
14.006	-0.0022817	0.11742	-0.044752
14.086	0.10071	0.11748	-0.043757
14.166	-0.0055906	0.11741	-0.042791
